# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1442
#@/user_id	31a921d8-4640-4969-8b5f-c299ee633f24
a 	啊	c=2 d=1.93605 t=1442
yi jiang 	已將	c=1 d=0.951229 t=1442
yi jing 	已經	c=6 d=2.52956 t=1442
yi kai shi 	一開始	c=1 d=0.690734 t=1442
yi ran 	亦然	c=1 d=0.865022 t=1442
yi ran 	依然	c=2 d=1.36235 t=1442
yi wu suo zhi 	一無所知	c=1 d=0.729789 t=1442
yi xia 	以下	c=3 d=2.12378 t=1442
yi yan 	一眼	c=1 d=0.960789 t=1442
yi yang 	一樣	c=1 d=0.965605 t=1442
yi yi 	意義	c=1 d=0.763379 t=1442
yi zhong 	一種	c=1 d=0.782705 t=1442
yin 	隱	c=1 d=0.932394 t=1442
yin ci 	因此	c=8 d=2.91237 t=1442
yin han 	隱含	c=1 d=0.985112 t=1442
yin qing 	引擎	c=3 d=1.11045 t=1442
yin wei 	因爲	c=3 d=1.91577 t=1442
ying wen 	英文	c=1 d=1 t=1442
ying xiang 	影響	c=1 d=0.941765 t=1442
ying yong 	應用	c=2 d=0.882497 t=1442
yong 	用	c=4 d=2.44309 t=1442
yong dao 	用到	c=1 d=1 t=1442
yong yu 	用於	c=1 d=0.301194 t=1442
yong yuan 	永遠	c=1 d=0.790571 t=1442
you 	有	c=17 d=4.80313 t=1442
you ban fa 	有辦法	c=1 d=0.744532 t=1442
you ci 	由此	c=1 d=0.697676 t=1442
you hua 	優化	c=1 d=0.960789 t=1442
you ke yi 	又可以	c=0 d=0.0937067 t=1442
you ke yi le 	又可以了	c=1 d=0.941765 t=1442
you na xie 	有哪些	c=1 d=0.852144 t=1442
you xiao 	有效	c=2 d=1.38385 t=1442
you xiu 	優秀	c=1 d=0.647265 t=1442
you xu yao 	有需要	c=5 d=4.39482 t=1442
you yu 	由於	c=6 d=2.48807 t=1442
yu 	於	c=3 d=1.27216 t=1442
yu 	與	c=29 d=8.46776 t=1442
yu fa 	語法	c=3 d=1.98012 t=1442
yu suan 	預算	c=3 d=1.90248 t=1442
yu xian 	預先	c=1 d=0.97531 t=1442
yu yan 	語言	c=14 d=6.49806 t=1442
yu yi 	語義	c=1 d=0.97531 t=1442
yuan xian 	原先	c=1 d=0.843665 t=1442
yue 	月	c=1 d=0.453845 t=1442
yun xu 	允許	c=1 d=0.774916 t=1442
zai 	再	c=1 d=0.980199 t=1442
zai 	在	c=32 d=11.6661 t=1442
zai mai 	在賣	c=1 d=1 t=1442
zan shi 	暫時	c=1 d=0.755784 t=1442
ze 	則	c=1 d=0.66034 t=1442
ze shi 	則是	c=2 d=1.01857 t=1442
zen me 	怎麼	c=3 d=2.78628 t=1442
zeng jia 	增加	c=2 d=1.46868 t=1442
zhang 	張	c=2 d=1.34379 t=1442
zhao 	找	c=1 d=0.690734 t=1442
zhao dao 	找到	c=2 d=1.19256 t=1442
zhao xun 	找尋	c=2 d=1.64041 t=1442
zhe 	着	c=1 d=0.99005 t=1442
zhe dian 	這點	c=1 d=0.666977 t=1442
zhe liang ge 	這兩個	c=1 d=0.683861 t=1442
zhe me 	這麼	c=2 d=1.84582 t=1442
zhe pian 	這篇	c=1 d=0.913931 t=1442
zhe shi 	這是	c=1 d=0.852144 t=1442
zhe xie 	這些	c=7 d=3.60821 t=1442
zhe yang 	這樣	c=1 d=0.941765 t=1442
zhe zhong 	這種	c=2 d=1.12031 t=1442
zhen dui 	針對	c=2 d=0.532144 t=1442
zhen shi 	真實	c=1 d=0.852144 t=1442
zheng 	正	c=1 d=0.960789 t=1442
zheng chang 	正常	c=1 d=0.97531 t=1442
zhi 	值	c=1 d=0.873716 t=1442
zhi 	只	c=4 d=1.96794 t=1442
zhi 	支	c=1 d=0.869358 t=1442
zhi dao 	直到	c=1 d=0.818731 t=1442
zhi dao 	知道	c=2 d=1.3843 t=1442
zhi de 	值得	c=1 d=0.744532 t=1442
zhi hu 	知乎	c=1 d=1 t=1442
zhi jie 	直接	c=6 d=3.69686 t=1442
zhi ling 	指令	c=1 d=0.932394 t=1442
zhi neng 	只能	c=2 d=1.9802 t=1442
zhi shi 	只是	c=1 d=0.733447 t=1442
zhi xing 	執行	c=2 d=1.67473 t=1442
zhi yuan 	支援	c=2 d=0.755148 t=1442
zhong 	中	c=7 d=2.68971 t=1442
zhong de 	中的	c=1 d=0.960789 t=1442
zhou mo 	週末	c=1 d=0.970446 t=1442
zhu yao 	主要	c=4 d=2.10196 t=1442
zhu yi 	注意	c=1 d=0.748264 t=1442
zhuan huan 	轉換	c=1 d=0.909373 t=1442
zhuang si 	撞死	c=0 d=0.0951229 t=1442
zhuang si ta 	撞死他	c=1 d=0.955997 t=1442
zi 	字	c=1 d=0.937067 t=1442
zi dong 	自動	c=3 d=2.04166 t=1442
zi ku 	字庫	c=1 d=0.955997 t=1442
zi ran 	自然	c=1 d=0.891366 t=1442
zong 	總	c=1 d=0.524663 t=1442
zu he 	組合	c=1 d=0.557106 t=1442
zu wu 	租屋	c=1 d=0.985112 t=1442
zu yi 	足以	c=1 d=0.394554 t=1442
zui 	最	c=2 d=1.91202 t=1442
zui da 	最大	c=1 d=0.932394 t=1442
zui di 	最低	c=1 d=0.941765 t=1442
zui duo 	最多	c=1 d=0.398519 t=1442
zui gao 	最高	c=1 d=0.995012 t=1442
zui hao 	最好	c=1 d=0.57695 t=1442
zui xin 	最新	c=1 d=0.465334 t=1442
zuo 	做	c=4 d=2.89864 t=1442
zuo fa 	做法	c=1 d=0.644036 t=1442
zuo wei 	作爲	c=3 d=1.09406 t=1442
